 ID(V), VGS = 2.0   VDS(V)  ID(V), VGS = 4.0   VDS(V)  ID(V), VGS = 6.0   VDS(V)  ID(V), VGS = 8.0   VDS(V)  ID(V), VGS = 10.0   VDS(V)  ID(V), VGS = 12.0   VDS(V)
              4.2 0.000059               4.2 0.000091               4.2 0.000096               4.2 0.000096                4.2 0.000096                4.2 0.000096
              4.3 0.000061               4.3 0.000093               4.3 0.000099               4.3 0.000099                4.3 0.000099                4.3 0.000099
              4.4 0.000062               4.4 0.000096               4.4 0.000103               4.4 0.000103                4.4 0.000103                4.4 0.000103
              4.5 0.000064               4.5 0.000099               4.5 0.000107               4.5 0.000107                4.5 0.000107                4.5 0.000107
              4.6 0.000065               4.6 0.000102               4.6 0.000111               4.6 0.000111                4.6 0.000111                4.6 0.000111
              4.7 0.000067               4.7 0.000105               4.7 0.000115               4.7 0.000115                4.7 0.000115                4.7 0.000115
              4.8 0.000068               4.8 0.000108               4.8 0.000119               4.8 0.000119                4.8 0.000119                4.8 0.000119
              4.9 0.000069               4.9 0.000110               4.9 0.000123               4.9 0.000123                4.9 0.000123                4.9 0.000123
              5.0 0.000071               5.0 0.000113               5.0 0.000127               5.0 0.000127                5.0 0.000127                5.0 0.000127
              5.1 0.000072               5.1 0.000116               5.1 0.000132               5.1 0.000132                5.1 0.000132                5.1 0.000132
              5.2 0.000074               5.2 0.000119               5.2 0.000136               5.2 0.000136                5.2 0.000136                5.2 0.000136
              5.3 0.000075               5.3 0.000122               5.3 0.000140               5.3 0.000141                5.3 0.000141                5.3 0.000141
              5.4 0.000076               5.4 0.000125               5.4 0.000144               5.4 0.000145                5.4 0.000145                5.4 0.000145
              5.5 0.000078               5.5 0.000127               5.5 0.000149               5.5 0.000150                5.5 0.000150                5.5 0.000150
              5.6 0.000079               5.6 0.000130               5.6 0.000153               5.6 0.000154                5.6 0.000154                5.6 0.000154
              5.7 0.000081               5.7 0.000133               5.7 0.000157               5.7 0.000159                5.7 0.000159                5.7 0.000159
              5.8 0.000082               5.8 0.000136               5.8 0.000161               5.8 0.000164                5.8 0.000164                5.8 0.000164
              5.9 0.000084               5.9 0.000139               5.9 0.000166               5.9 0.000169                5.9 0.000169                5.9 0.000169
              6.0 0.000085               6.0 0.000142               6.0 0.000170               6.0 0.000173                6.0 0.000173                6.0 0.000173
              6.1 0.000086               6.1 0.000144               6.1 0.000174               6.1 0.000178                6.1 0.000178                6.1 0.000178
              6.2 0.000088               6.2 0.000147               6.2 0.000178               6.2 0.000184                6.2 0.000184                6.2 0.000184
              6.3 0.000089               6.3 0.000150               6.3 0.000183               6.3 0.000189                6.3 0.000189                6.3 0.000189
              6.4 0.000091               6.4 0.000153               6.4 0.000187               6.4 0.000194                6.4 0.000194                6.4 0.000194
              6.5 0.000092               6.5 0.000156               6.5 0.000191               6.5 0.000199                6.5 0.000199                6.5 0.000199
              6.6 0.000093               6.6 0.000159               6.6 0.000195               6.6 0.000204                6.6 0.000204                6.6 0.000204
              6.7 0.000095               6.7 0.000161               6.7 0.000200               6.7 0.000210                6.7 0.000210                6.7 0.000210
              6.8 0.000096               6.8 0.000164               6.8 0.000204               6.8 0.000215                6.8 0.000215                6.8 0.000215
              6.9 0.000098               6.9 0.000167               6.9 0.000208               6.9 0.000221                6.9 0.000221                6.9 0.000221
              7.0 0.000099               7.0 0.000170               7.0 0.000212               7.0 0.000227                7.0 0.000227                7.0 0.000227
              7.1 0.000101               7.1 0.000173               7.1 0.000217               7.1 0.000232                7.1 0.000232                7.1 0.000232
              7.2 0.000102               7.2 0.000176               7.2 0.000221               7.2 0.000238                7.2 0.000238                7.2 0.000238
              7.3 0.000103               7.3 0.000178               7.3 0.000225               7.3 0.000244                7.3 0.000244                7.3 0.000244
              7.4 0.000105               7.4 0.000181               7.4 0.000229               7.4 0.000249                7.4 0.000250                7.4 0.000250
              7.5 0.000106               7.5 0.000184               7.5 0.000234               7.5 0.000255                7.5 0.000256                7.5 0.000256
              7.6 0.000108               7.6 0.000187               7.6 0.000238               7.6 0.000261                7.6 0.000262                7.6 0.000262
              7.7 0.000109               7.7 0.000190               7.7 0.000242               7.7 0.000266                7.7 0.000268                7.7 0.000268
              7.8 0.000110               7.8 0.000193               7.8 0.000246               7.8 0.000272                7.8 0.000274                7.8 0.000274
              7.9 0.000112               7.9 0.000195               7.9 0.000251               7.9 0.000278                7.9 0.000280                7.9 0.000280
              8.0 0.000113               8.0 0.000198               8.0 0.000255               8.0 0.000283                8.0 0.000287                8.0 0.000287
              8.1 0.000115               8.1 0.000201               8.1 0.000259               8.1 0.000289                8.1 0.000293                8.1 0.000293
              8.2 0.000116               8.2 0.000204               8.2 0.000263               8.2 0.000295                8.2 0.000300                8.2 0.000300
              8.3 0.000118               8.3 0.000207               8.3 0.000268               8.3 0.000300                8.3 0.000306                8.3 0.000306
              8.4 0.000119               8.4 0.000210               8.4 0.000272               8.4 0.000306                8.4 0.000313                8.4 0.000313
              8.5 0.000120               8.5 0.000212               8.5 0.000276               8.5 0.000312                8.5 0.000319                8.5 0.000319
              8.6 0.000122               8.6 0.000215               8.6 0.000280               8.6 0.000317                8.6 0.000326                8.6 0.000326
              8.7 0.000123               8.7 0.000218               8.7 0.000285               8.7 0.000323                8.7 0.000333                8.7 0.000333
              8.8 0.000125               8.8 0.000221               8.8 0.000289               8.8 0.000329                8.8 0.000340                8.8 0.000340
              8.9 0.000126               8.9 0.000224               8.9 0.000293               8.9 0.000334                8.9 0.000347                8.9 0.000347
              9.0 0.000127               9.0 0.000227               9.0 0.000297               9.0 0.000340                9.0 0.000354                9.0 0.000354
              9.1 0.000129               9.1 0.000229               9.1 0.000302               9.1 0.000346                9.1 0.000361                9.1 0.000361
              9.2 0.000130               9.2 0.000232               9.2 0.000306               9.2 0.000351                9.2 0.000368                9.2 0.000368
              9.3 0.000132               9.3 0.000235               9.3 0.000310               9.3 0.000357                9.3 0.000375                9.3 0.000376
              9.4 0.000133               9.4 0.000238               9.4 0.000314               9.4 0.000362                9.4 0.000382                9.4 0.000383
              9.5 0.000135               9.5 0.000241               9.5 0.000319               9.5 0.000368                9.5 0.000389                9.5 0.000390
              9.6 0.000136               9.6 0.000244               9.6 0.000323               9.6 0.000374                9.6 0.000396                9.6 0.000398
              9.7 0.000137               9.7 0.000246               9.7 0.000327               9.7 0.000379                9.7 0.000404                9.7 0.000405
              9.8 0.000139               9.8 0.000249               9.8 0.000331               9.8 0.000385                9.8 0.000411                9.8 0.000413
              9.9 0.000140               9.9 0.000252               9.9 0.000336               9.9 0.000391                9.9 0.000418                9.9 0.000421
